year,week,title,pkgs,code_fpath,img_fpath,code_type,geofi,geomtextpath,ggforce,ggplot2,ggtext,glue,janitor,lubridate,marquee,packcircles,readr,scales,sf,showtext,skimr,spData,stringr,tidytuesdayR,tidyverse,treemapify
2025,2025-09-23,FIDE Chess Player Ratings,"tidyverse, tidytuesdayR, showtext, readr",2025/2025-09-23/20250923.R,2025/2025-09-23///20250923.png,R,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
2025,2025-09-30,"Crane Observations at Lake Hornborgasjön, Sweden (1994–2024)","tidyverse, showtext, ggtext, marquee, readr",2025/2025-09-30/20250930.R,2025/2025-09-30///20250930.png,R,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
2025,2025-10-07,EuroLeague Basketball,"tidyverse, tidytuesdayR, showtext, skimr, treemapify, janitor, ggtext, marquee, readr",2025/2025-10-07/20251007.R,2025/2025-10-07///20251007.png,R,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1
2025,2025-10-21,Historic UK Meteorological & Climate Data,"tidyverse, showtext, lubridate, ggtext, stringr, readr",2025/2025-10-21/20251021.R,2025/2025-10-21///20251021.png,R,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2025,2025-11-04,Lead concentration in Flint water samples in 2015,"tidyverse, tidytuesdayR, showtext, geomtextpath, glue, ggtext, stringr, readr",2025/2025-11-04/20251104.R,2025/2025-11-04///20251104.png,R,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
2025,2025-12-16,Roundabouts across the world,"tidyverse, tidytuesdayR, showtext, ggtext, marquee, skimr, geofi, sf, stringr, readr",2025/2025-12-16/20251216.R,2025/2025-12-16///20251216.png,R,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0
2025,2025-12-23,The Languages of the World,"tidyverse, showtext, packcircles, ggforce, ggtext, marquee, stringr, readr",2025/2025-12-23/20251223.R,2025/2025-12-23///20251223.png,R,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0
2026,2026-01-13,The Languages of Africa,"tidyverse, showtext, ggtext, marquee, scales, spData, sf, stringr, readr, ggplot2",2026/2026-01-13/20260113.R,2026/2026-01-13///20260113.png,R,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0
